symbol,avg_daily_return,std_daily_return,cumulative_return,annualized_return,sharpe_ratio
XRP,0.009661954723184506,0.06537259442189555,2.9429038855668583,14.904052023424276,2.8236815049558595
BGB,0.009030489561569165,0.05573149170702917,2.8705768589019027,14.321226399351167,3.0956871158897683
TKX,0.009288233168642943,0.06539712660496115,2.7194739182543772,13.138994649961997,2.7134440722103577
HBAR,0.009831147087200303,0.08827355803013327,2.180548831399532,9.311762434332143,2.127747035095497
XDC,0.008145790008290753,0.07205975532553377,1.8601579373413726,7.324238336635688,2.159667332907376
XLM,0.008124371610849506,0.08116213299273126,1.5734681471610519,5.727315151027146,1.9124177243986151
GT,0.005596095782818096,0.033356606866783545,1.4752787254178497,5.219742066822208,3.2051599324802984
CRV,0.007475688329837651,0.07447362049034649,1.3550026692801649,4.625335260967664,1.9177639553767116
ADA,0.006167796406080719,0.08025286667606646,0.8503777633326177,2.458999759630143,1.4683037474517446
DEXE,0.0052367805385420355,0.0697681338570014,0.6874292689194401,1.8722175093659845,1.43401501772823
FTN,0.002670750628459043,0.01034592987961444,0.6013217788210368,1.584320477788892,4.931854333668155
TRX,0.004676043457123556,0.07527622014492902,0.5990067373829935,1.5767917504672258,1.18677166094876
ALGO,0.004975454155238824,0.07148043623107816,0.5845354041433239,1.5299805742135906,1.3298172644010384
LEO,0.0026373780824984973,0.02008863997642421,0.5497612786042874,1.4192634915286049,2.508235379617264
XMR,0.002324822571030962,0.036062168002925055,0.34882106151365644,0.8283638115216634,1.2316417818117735
DOGE,0.0033221035009708424,0.06025181250437621,0.32320501807262847,0.7590176527025574,1.0533906886949302
OKB,0.002092929617011047,0.037696582625661994,0.28755766539302163,0.6647641496735677,1.060715889985797
EOS,0.003246817808373647,0.06238349871213677,0.26930693656501403,0.6175208265721042,0.9943393431304663
WBTC,0.0016574888133405667,0.027647775533089575,0.25909693144587664,0.5913905332317779,1.1453463689358039
BTC,0.001664282345851426,0.027927362867624785,0.2588240650220712,0.5906951340881621,1.1385274622265438
CBBTC,0.0016539956385531066,0.027785173519744844,0.25741629082571316,0.5871098607525993,1.137280725740743
SOLVBTC,0.0016388820125635556,0.027572133528154817,0.25542589594872145,0.5820477472385865,1.1355957221915727
LBTC,0.001649318862476362,0.02842695724453309,0.25219241336755127,0.5738415037428117,1.1084616743474436
ONDO,0.003162265788656604,0.06343779228943812,0.23967520796487363,0.5422769640627008,0.9523503401160678
XAUT,0.001080541224477715,0.009135542988837808,0.20554392192602977,0.45784600398831676,2.2597136407608973
KCS,0.0014441988969219018,0.028681338184856537,0.20508342635107524,0.4567232514778832,0.9619976936419659
FLR,0.0025432073275051923,0.059568682836107424,0.17249580713961077,0.3783772224564781,0.8156619461096415
LINK,0.0026950511715959457,0.06144827616934529,0.16977681203144535,0.37193898035996953,0.8379222908623586
JLP,0.0009204260380873915,0.022854718068579184,0.12628568222063397,0.271022328399781,0.7694128938298261
LTC,0.0019501119557816407,0.05123069914023854,0.12159290204058704,0.26036548946006666,0.7272365442559519
SUI,0.002541706648046106,0.06239427950726373,0.12034885555450092,0.2575479679863122,0.7782642529404454
MNT,0.0018110571443583027,0.04935185229127949,0.11945696644683479,0.2555299702827427,0.7010921891303226
MKR,0.002081890397828779,0.055553276449737336,0.11052868302118823,0.23541877583278947,0.7159696555223634
CRO,0.0029192917211250447,0.07415448885283896,0.10981997896049633,0.23382941417256764,0.7521188654059966
SUSDE,0.0002815449939569233,0.0019560283279370116,0.05161666468699533,0.10682050833954237,2.749913935370698
VET,0.002427817779948338,0.06743517245385076,0.046461003672453316,0.09590522964568082,0.6878219758440376
NEXO,0.000747224171891142,0.03263323775440151,0.03951809013453267,0.08129224262559398,0.4374588224064512
QNT,0.0017602103380232421,0.058160881276732086,0.02613224911789569,0.053397696137021944,0.5782025745015752
FDUSD,1.168319573719425e-05,0.003134182746014642,0.0012248469789553074,0.0024715330546865033,0.07121701548381447
BSC-USD,4.984202558252456e-06,0.002166530545800106,0.0004769803386537319,0.0009620996272172722,0.04395186412510728
USDC,4.254002789509417e-06,0.0020149363924762635,0.0004021277683863289,0.0008110863875616658,0.0403350743385638
DAI,2.365745989696571e-06,0.0009693211290580768,0.0003418508044983337,0.0006894874280891639,0.04662800832047806
USDT,3.4502214891599145e-07,0.0010823613126945788,-4.279360622427841e-05,-8.62946216663163e-05,0.006090054053440802
USDE,-2.2481922353366666e-06,0.0010103051440748323,-0.0004959088404593581,-0.0009997850916231288,-0.04251354414972774
PYUSD,-3.903013056439898e-06,0.0011322794412852292,-0.0008169036347931424,-0.0016466630975967567,-0.06585561569371513
USDS,-2.4189319068847703e-05,0.004391884085310875,-0.006063193547590995,-0.012189201934165728,-0.10522506581320215
BNB,0.0003236572901137427,0.028752062500051852,-0.015043562702042212,-0.030104519248100647,0.2150615749863899
ATOM,0.0011504732857359954,0.05416882785373719,-0.054664566633546796,-0.10717319562599203,0.4057640184011825
AAVE,0.0016806964058846035,0.0654855507778748,-0.06948743244704914,-0.1351793115602511,0.49033197961319647
BCH,0.000609572008005493,0.04592333801483336,-0.0739142766132912,-0.14345608223976147,0.2535934312339293
BNSOL,0.0007626031742392739,0.05203133160940441,-0.09760032513872607,-0.18705976992451712,0.2800142286581254
DOT,0.0006569919936228993,0.05383317680473362,-0.12921396775981753,-0.24346858717342856,0.23316131722234135
SOL,0.0005679915425130523,0.05219920007821657,-0.130135451771211,-0.2450821428119202,0.20788562213250297
JASMY,0.001969489083188146,0.0818135756120068,-0.18598595610227342,-0.33963726722240295,0.4599118889548002
ETC,-0.0001314783587190378,0.04639176382790355,-0.1944497226345102,-0.35341023222948875,-0.05414518244398567
ENA,0.0019393596321628348,0.08195351595372875,-0.20981699464455528,-0.3780431594945938,0.4521027965314082
UNI,8.936586772058231e-06,0.05962772108467553,-0.26574176230609403,-0.463618049632019,0.0028633200707049223
RENDER,0.00010615084585219962,0.06098253699666933,-0.2671908009023287,-0.465750523508741,0.03325557056722755
PEPE,0.0008071342161071138,0.07319614823313698,-0.2688324165916709,-0.46816122919312386,0.2106706147687844
AVAX,-0.00018189660798041254,0.0559361500135393,-0.2691351903679846,-0.46860525089079563,-0.06212672511720876
FIL,-0.000714667344344806,0.05317601588960734,-0.3213483439456818,-0.5423816364326416,-0.2567642613687748
SHIB,-0.0009168737236656874,0.05239513808413469,-0.33415661257935103,-0.5596310925410128,-0.33432201031607256
WSTETH,-0.0015326336955044366,0.041332921222628626,-0.34944689980055654,-0.5797857840296312,-0.7084165544772134
WEETH,-0.0015479575019672618,0.04104747843421866,-0.34986923264793013,-0.5803357221313875,-0.7204751102509411
RSETH,-0.0015657535045480524,0.040830008639861325,-0.35097402959822654,-0.5817726095999687,-0.7326395388790816
RETH,-0.001583374832374477,0.0412562487537679,-0.35512161334219927,-0.5871447447524119,-0.733230349620622
ETH,-0.001617237987174065,0.041137500420810054,-0.35838701631359593,-0.5913496081249716,-0.751073547146832
WETH,-0.0016193016544175068,0.04115486522120346,-0.3586519612295007,-0.5916898262856188,-0.7517146393957886
STETH,-0.0016219768759480715,0.041157983110459796,-0.35905075106839146,-0.5922016466039846,-0.7528994951368612
ICP,-0.0012670834039645272,0.05145837779774196,-0.37242418459926674,-0.6091781833267367,-0.4704305786280134
KAS,-0.0011943487492980505,0.0576553695367096,-0.39928029089447914,-0.6421711603199343,-0.3957654074502048
BONK,-0.0005573623575471248,0.07680057372463317,-0.45360781731232547,-0.7044314643935097,-0.13864991331467572
ARB,-0.001762493487278372,0.05659870970389115,-0.455439837666903,-0.7064265316446713,-0.5949321277980426
TON,-0.002448802719385654,0.04358929439238708,-0.4571402387859588,-0.7082721707665616,-1.0732981782742808
POL,-0.002541301973147875,0.05175019798651269,-0.5030446534255215,-0.7558811468667866,-0.938189763796778
APT,-0.0024564233226068662,0.054201733078994487,-0.5065768290024018,-0.759367479038265,-0.8658376590159778
GRT,-0.0026159857780507657,0.05401480515698346,-0.5211763650112886,-0.7735093900834487,-0.9252710987180846
JUP,-0.002270134004518799,0.06521709429062811,-0.5434280524429198,-0.794233365165669,-0.6650227172905739
NEAR,-0.0030253449851899926,0.054252302616625024,-0.5566905137793479,-0.8061086811403555,-1.0653766199424037
TIA,-0.0025597790823976324,0.06527961946245671,-0.5692258604445878,-0.817005900563409,-0.7491543471709156
TAO,-0.002890112361728334,0.06051164198468143,-0.5726335823111527,-0.8199133769297228,-0.9124776213511478
SEI,-0.0031771132257627133,0.05948360272410319,-0.5885799337613484,-0.833206976612135,-1.020426809590103
INJ,-0.0033602247630290577,0.06003231548177025,-0.6066963861526928,-0.8476864090027605,-1.0693741103089554
OP,-0.003518812095517596,0.05909328943049901,-0.612627958896383,-0.8522831830786958,-1.1376386614961995
FET,-0.004040420394218548,0.060056840485963096,-0.6520150821325454,-0.8810067306826554,-1.2853177526623778
WLD,-0.003820926743646081,0.06625731993996528,-0.6622072265277167,-0.8879302808572822,-1.101745482693754
STX,-0.004523890328453592,0.05559582016077796,-0.6665437536358476,-0.8908126612573714,-1.5545917502383344
