,BTC,ETH,USDT,XRP,BNB,SOL,USDC,DOGE,TRX,ADA,STETH,WBTC,LEO,AVAX,LINK,SUI,XLM,SHIB,HBAR,WSTETH,USDS,TON,BCH,LTC,DOT,BGB,BSC-USD,USDE,WETH,XMR,WEETH,UNI,PEPE,OKB,CBBTC,DAI,APT,ONDO,GT,TKX,NEAR,ICP,CRO,ETC,MNT,AAVE,SUSDE,TAO,VET,KAS,RENDER,ATOM,LBTC,ENA,FTN,FDUSD,FIL,ALGO,POL,TIA,ARB,JLP,SOLVBTC,KCS,FET,XDC,MKR,OP,JUP,BNSOL,FLR,BONK,NEXO,QNT,RSETH,WLD,STX,EOS,SEI,PYUSD,DEXE,CRV,INJ,RETH,JASMY,XAUT,GRT
BTC,1.0,0.8118454720892788,0.19560493476405802,0.5886393013324825,0.5944100529500725,0.7627847982534708,0.02463085868948467,0.8220214040739999,0.16444115500331838,0.6549277210560166,0.810666933096634,0.997726864205168,0.4773075672420507,0.7266490052544692,0.6532924745507327,0.6536547981621508,0.4030872655117665,0.7142865722391066,0.3941475252647519,0.8056593153894944,0.006687685587726533,0.5086442428506909,0.7231088436882268,0.5364044468730442,0.6155606225315905,0.3794841232775957,0.07694020887705484,0.2788567912478246,0.8127973409887038,0.38466030749409524,0.8124349026391564,0.6867810019474864,0.6438970666153778,0.5212579354943973,0.9991495827484239,0.08175855881863034,0.6905128409604846,0.7424152507229453,0.6427543804738424,0.2553856617175295,0.7330069163819798,0.6617262342093836,0.6704708491708502,0.6853221101686748,0.5211082603931081,0.6337609539264286,0.13740235605009607,0.69034598432958,0.5971300535851467,0.5611080868614807,0.7668694101272574,0.6031200752479486,0.9891154927547248,0.578320868686595,0.31964742587017514,0.07296670867449492,0.6748672726190055,0.6097611105620272,0.6541695271985537,0.5246568576144924,0.6826074710763723,0.790929480764224,0.9935352680062691,0.5515108756958519,0.6819021360075369,0.30045953167331474,0.4561427400392128,0.6635411647671519,0.566552829831258,0.7650459994658788,0.5817995647862894,0.6696219863128626,0.7585078121627938,0.4976827820021763,0.8147335032377195,0.6331950467175881,0.7682282467755713,0.5473572556214664,0.6192899655612886,-0.1344344777684648,0.21428047369664974,0.559601883679779,0.7150975382262676,0.8121315516187637,0.5519849558801823,0.040337720491784856,0.7284030118651744
ETH,0.8118454720892788,1.0,0.1886305099875997,0.5841182462191769,0.6602190406670162,0.7166035347824954,0.028004974947532516,0.718065363853515,0.1663315684413539,0.6692557494816401,0.9996217660190103,0.8155025992101755,0.42561535523080174,0.7687607900141258,0.7369538943483006,0.6712774659246888,0.4360481695057405,0.7104055180318609,0.4088196522208528,0.9934558674193514,0.05429229286204612,0.6416656712682455,0.7410745713999908,0.6144249418484503,0.7089299597410399,0.39089348008924263,0.08291737266408598,0.25558280433215386,0.9983642802575663,0.41457816451934004,0.9992612890187335,0.8191125783657202,0.6301236828448117,0.5332649326913459,0.8127954551807612,0.03507786798465878,0.7188035184412827,0.705720632846426,0.6641556179874201,0.31581824604136177,0.766229631530515,0.7293093265992165,0.5526697617301407,0.8390121062516454,0.6435389676646728,0.8008449256875321,0.1662759390792805,0.6952231079837381,0.6186185106200173,0.6323918745899585,0.7409621564118513,0.6819820299496859,0.818034610768985,0.6991152668067748,0.242310661233648,0.061004464231092306,0.7963288107441762,0.5905558879895724,0.7658849909653858,0.6355354229809027,0.8614220064969655,0.7626672928689691,0.8158608983412055,0.6635761194922958,0.7710544816849181,0.33748086305196867,0.6098225109888951,0.8147897688963501,0.5525601507115117,0.7199764520929366,0.537490669726644,0.6025164755161679,0.8254280352639276,0.599904708582632,0.9961955871767146,0.7054595996718807,0.786022802337047,0.6022492366411702,0.7107648513320769,-0.10683345961141437,0.2805744876829265,0.6735572749299796,0.7633604417854395,0.9976044450332472,0.618755031420076,0.026220516752343725,0.776598802539936
USDT,0.19560493476405802,0.1886305099875997,1.0,0.022500048469197606,0.04867903628008141,0.12900445937933303,0.6082883221710128,0.11985979792398124,-0.02435865354619228,0.06561749799197196,0.1914059789924385,0.18303828191267557,0.1943535135909906,0.0875384824949652,0.18104582843344708,0.13996917300546086,0.05441312711559012,0.10230739283214933,0.03976954564471886,0.2132147820451689,0.24451095662034822,0.04258594607186587,0.11576295545970909,0.07348544444271848,0.07258765381783747,0.013443578300134438,0.5629380532846693,0.4693534484994163,0.1781281397826486,0.018030378349512627,0.18480938085539897,0.1450177424512486,0.13840420063489275,-0.005939370818066214,0.18776640489417823,0.20257645194598042,0.044343281619218244,0.2240736401274566,0.07253113754365183,0.1033922461853723,0.03493720718912749,0.09165586683993689,0.06342182473530232,0.166691451500977,0.04439393006568528,0.1626221775326795,0.29340682881124164,0.14488701721114755,0.08030920826920059,-0.003350629457200601,0.09707103497788044,0.045008980099892244,0.20325962840410725,0.16634340325416094,0.12486930449896388,0.294771111854678,0.10910155040317797,-0.006750179747394303,0.13893807523295532,0.12825847062086698,0.14397567322673704,0.06684131205385008,0.20235354866215655,0.09388767294301434,0.08444792372536832,0.010448831448692469,0.08028210527765665,0.13061486497792335,0.020735771489485143,0.11216347112419205,0.05460953140315491,0.14271076024376123,0.13096727962863552,0.08990053180402303,0.20227971829115146,0.06867415158190136,0.10737726095832277,0.03995636533913386,0.020502677027524483,0.4097469618592025,-0.01855174508616045,0.10175568252999719,0.06915044605774971,0.19490629724549186,0.1460581431479611,0.00915177535941416,0.09018079818520625
XRP,0.5886393013324825,0.5841182462191769,0.022500048469197606,1.0,0.39851936157442236,0.5628370349790769,-0.04851849225311826,0.5656849537285653,0.16548411314190792,0.7272080338892803,0.5812480813414672,0.58953391253904,0.20212514773156195,0.6710378985300087,0.6483783599456188,0.47870940419234675,0.6915061635436492,0.5307219624988426,0.6528204668005358,0.579473499944117,-0.025398377896048593,0.4633156697013796,0.4988461373891106,0.6379832529017708,0.6052692703481614,0.28119260986613764,0.026074249647749785,0.17769298997556945,0.5807091356097652,0.33058877525334596,0.5836829324958656,0.5343387090301199,0.4255816221511814,0.3644653022675223,0.5842319743009683,0.10293520476938252,0.4969836557402031,0.6036647509049253,0.47617497841222506,0.14587548495093006,0.6203901174145011,0.6310664841223841,0.3449575113782627,0.6043105693561948,0.3841076856017303,0.5035282274294935,0.2077757860062606,0.4543872777223831,0.6074452683705575,0.5276755612154288,0.5543891016049554,0.6126160927822403,0.5850590250043808,0.4126876322228094,0.08559804157298508,0.13306152043503663,0.6456082587380559,0.7269325777952467,0.6281476379560612,0.39276328625278534,0.6233212824572049,0.6145940657347517,0.5807512727319804,0.4218586080996269,0.5656180564222778,0.6549855288429511,0.28742603160732844,0.587789650340834,0.42226034496680076,0.5637855080344653,0.7278085295226798,0.5411478225087927,0.6198370109533887,0.6758362284690845,0.582829017278226,0.4991417210399085,0.5602916263089436,0.5991828067147745,0.5317228370398881,-0.026391289010822876,0.21657389988093312,0.5028284738978204,0.5636007739200124,0.5882065449619447,0.4146010580216073,0.04723817349806772,0.6166485699133513
BNB,0.5944100529500725,0.6602190406670162,0.04867903628008141,0.39851936157442236,1.0,0.5772504026843264,-0.026047506459507316,0.5773332237229398,0.5106722852737835,0.46991825894282124,0.6629649023132148,0.5873765247244283,0.31122347884099927,0.6231915192768698,0.5298389403485185,0.605453536089628,0.3837921000848637,0.5737996006336504,0.35152398768889886,0.6603865497993883,0.06105669657698733,0.6507066570591392,0.6608282844157807,0.49897772082796166,0.6196116134906129,0.2727497551437696,-0.0975955538364591,0.2055426999337795,0.6584242622285723,0.524038534214212,0.6629824458269163,0.6581520062530624,0.5166296897095516,0.6506531568395278,0.5929097439301063,0.01877480857716884,0.660093569483769,0.5922586026703124,0.7155756700142585,0.17318083494532704,0.6879187325200715,0.6834921118503114,0.47778901803827395,0.661913128674983,0.4905816344085771,0.5630231165255247,0.15974887939543184,0.5763610966136681,0.6999411285993348,0.56598308569184,0.6372000922952283,0.6343497370953899,0.592978504658133,0.4768276590684344,0.16567526310431419,0.10344634241782409,0.6572641166210126,0.5187850148110378,0.6943682518273908,0.5845626747232482,0.6654057440888949,0.5398406708289142,0.5915258889032765,0.4672925486981436,0.6599510345416524,0.30505224304912093,0.5871676083126899,0.6264526316255615,0.4987730187688438,0.5828456889997324,0.45431557319767385,0.47478218968236097,0.6381138111132129,0.5556239699912354,0.661456054695048,0.62697673622077,0.6675960149525159,0.5553555867982239,0.635969924895271,-0.0901286874330809,0.3043446718003715,0.5958370034395573,0.6448122008769155,0.6664181599493625,0.6068673640866903,0.017183714106638874,0.6944543499160684
SOL,0.7627847982534708,0.7166035347824954,0.12900445937933303,0.5628370349790769,0.5772504026843264,1.0,0.052340943322782066,0.6794343798051137,0.21159870516075352,0.6635357626619851,0.7123644569640539,0.7586936471047108,0.29237257753671725,0.6718258424625971,0.589834740138604,0.688143076453528,0.3743413231631975,0.5962966576274179,0.3453372215676437,0.7032683247890325,0.001984980017713645,0.4934152344807766,0.6087018021176599,0.47306530888959786,0.5418062019213822,0.29758578164596056,0.06527202729938471,0.1630873468412332,0.7140569862273771,0.35564757394804875,0.7173127108615476,0.6033656592945423,0.5749990603990872,0.48326100688455137,0.7638580078508075,0.01834462052035173,0.6070457540933453,0.62776277793756,0.6195512109990858,0.21539506860594504,0.6492749447755268,0.6157198899120078,0.4868609678497009,0.6056456348384683,0.4290933142017653,0.5948969362876182,0.11729087288573813,0.6121492911610296,0.5589211885968193,0.5460264195071496,0.7180544415994278,0.5503930526032118,0.7698098914522135,0.5950718321218788,0.18745124721782475,0.08958297133875907,0.6049653976931492,0.5578567148829418,0.6007823394729281,0.5354983576688385,0.624667645554945,0.9263946740958545,0.7551011449716107,0.4567112071995008,0.6627927809368014,0.2884129032028229,0.37850039104247296,0.6287506419889324,0.7730039158296591,0.998801914486234,0.5301129068647872,0.6540896864426414,0.6252981703689475,0.4514006081179399,0.7123395218746524,0.6088935096192171,0.6632135302081886,0.5006192068994004,0.5968305361180424,-0.13670365311699276,0.27884314430315593,0.4928543044508398,0.6682215614222781,0.7102076247108722,0.5718220342967711,0.01406117399258676,0.6364301701226283
USDC,0.02463085868948467,0.028004974947532516,0.6082883221710128,-0.04851849225311826,-0.026047506459507316,0.052340943322782066,1.0,-0.023220997008481462,-0.10009948688779241,0.059780796418665114,0.0327567338188661,0.022124630891217953,0.021583666299699673,0.0014165730377949483,0.07939176876234552,-0.00421463678723634,-0.0045134394588151935,-0.011198842936374883,-0.007988458481147296,0.045081687670432975,0.19876520364654396,-0.06368954103929444,-0.014625488886713632,-0.018991356919304116,0.013593257947546412,-0.09056974523005319,0.846072825386185,0.1531395692549895,0.04365513816280868,-0.058790549070206775,0.025013556003972624,-0.036961660201549326,0.009409705725309254,-0.04416758561158768,0.023420788069805448,0.12945560108293427,-0.005752942397285416,0.1365619068612529,-0.05206925344856511,0.0397815566529406,-0.024969759819374018,0.0490357108894777,0.09921531775843352,0.019291569468557833,-0.09797593065906156,0.01817728499344102,0.0888655443100075,0.08694297770971801,0.004346298997587992,-0.07533794847537913,-0.026078555094869678,-0.048009396810086105,0.04959767741501978,-0.01582511298303896,-0.007421970012020939,0.042740548093069104,-0.0018536144274762596,0.0015953430760313942,0.030322876751155903,0.03488249459462085,0.03891332936042306,-0.05411513810976917,0.06016116789045204,-0.09368901114492982,0.0008906793622020296,0.011797138742073726,-0.00025954400403809387,0.011396463283968218,-0.012848612178327326,0.04399007033061613,0.005799696061776251,0.007472410046765455,0.025811959833113622,0.012788548766485603,0.03400527228259089,0.007502362151242563,0.024454388463245758,-0.0341274757309582,-0.004795089579839934,0.16982544378288492,-0.010509601821941713,-0.04332510423207334,-0.06876458828751217,0.03567666217284118,-0.0034389996706061794,-0.04098819100258837,0.0029821220717661653
DOGE,0.8220214040739999,0.718065363853515,0.11985979792398124,0.5656849537285653,0.5773332237229398,0.6794343798051137,-0.023220997008481462,1.0,0.1400455209060385,0.637641398233897,0.7165690672036764,0.8240561353104182,0.45078657780048786,0.7304864366544176,0.5880069469123324,0.6808849883295549,0.44944676490688645,0.8386084342765636,0.3893349304202484,0.7112041508406057,-0.00783064997079602,0.5399282487421235,0.6820846894353358,0.5574119718790626,0.6938012153966101,0.29266631075382776,0.042924890020404054,0.3088679866583513,0.7164846924757003,0.3191713189545278,0.7188674349185624,0.6310005854401239,0.6842390915078862,0.5133813034252932,0.8211438123359572,0.11316331585892796,0.6880749450212374,0.6385980761631246,0.577790521439403,0.25365734604706824,0.7255394157245986,0.681188380246523,0.6766649586979272,0.6456244233676932,0.4589312325590139,0.5418407447274994,0.1477921071283248,0.6421987576521828,0.5959763466591328,0.5712175752157505,0.7865455276484977,0.6597905069237922,0.8192660271274336,0.5925496423719679,0.32564637978300826,0.07722196953525691,0.6736154410855698,0.6393208995758958,0.6591869676356399,0.5437021138176404,0.6491417411640272,0.6905899529726257,0.813136740926149,0.5162837650316049,0.6543792556026599,0.3007639107556041,0.3983303796230633,0.627475650400623,0.5435432880412779,0.6814048921604003,0.5329542631510574,0.7172833697622701,0.6748362716366229,0.503689433022548,0.7221931925055689,0.6665577468521238,0.7746207420997904,0.5895945619081685,0.6217794118053737,-0.07846994827656388,0.2274154211719757,0.5535605559853106,0.7074764132480733,0.7201354329818814,0.5519727742563798,-0.04102386483336339,0.724998421370058
TRX,0.16444115500331838,0.1663315684413539,-0.02435865354619228,0.16548411314190792,0.5106722852737835,0.21159870516075352,-0.10009948688779241,0.1400455209060385,1.0,0.1749553418238667,0.16562104521917168,0.1589146193161521,0.0674552527951589,0.1973346572276091,0.19317550604959852,0.2557410350700869,0.16773852418289162,0.09670401964651819,0.21917449690466304,0.16818981651903223,0.062383606126379686,0.2498129697545025,0.30889854442450804,0.20004663125429015,0.18965635757641433,0.06288538049320874,-0.16871765309386721,0.12367818978512131,0.16250687093506233,0.46960513331411613,0.1712431760428256,0.2846357225544922,0.10131975744207115,0.47459998019319166,0.15955683036615229,0.09178232549096342,0.30521698037333167,0.28679759072980543,0.40761919347766074,0.008850540439954093,0.2094630323890088,0.32632763772998064,0.16772658990741807,0.2509689126514591,0.09631233813100536,0.19919520742832966,0.017042286438720345,0.16848678553496088,0.6101105068667315,0.1417827317463307,0.2512630573613483,0.24410699667749416,0.1590112336136543,0.07711943812189868,0.06630072885908098,0.034231234546212144,0.23564504666051303,0.23048286351711567,0.34254874717277983,0.2346987616218211,0.2309199521592645,0.15648907076954022,0.16005579957449806,0.16737233317843678,0.198453526285834,0.20389054695198355,0.36570464562140276,0.2077508138312032,0.15656520889276984,0.21836527453958987,0.2636200743540879,0.1940765160881088,0.2493227560973242,0.2966700689974731,0.16616746931006368,0.2163801667846857,0.25477602772898417,0.3603464212859241,0.30150571913409413,0.00013936897909959284,0.1729167362585039,0.31351844749057806,0.28011457818544483,0.17164199043447778,0.38768355897278706,0.052258203991664906,0.31956697596458133
ADA,0.6549277210560166,0.6692557494816401,0.06561749799197196,0.7272080338892803,0.46991825894282124,0.6635357626619851,0.059780796418665114,0.637641398233897,0.1749553418238667,1.0,0.6649781202834851,0.6573987845625486,0.24950668198983383,0.6894218267768297,0.6476315789068802,0.566105043172075,0.5064040583511519,0.6233972583371711,0.4260913438214715,0.6614442260156591,0.007163591434932531,0.48004018832994333,0.5420079245716766,0.4719822348997176,0.6535722785794649,0.26746929089374105,0.09043355156381626,0.16618081186402434,0.6727140680574543,0.33517049301423374,0.6710988891620396,0.555334854705286,0.49313855621577907,0.4340926247112215,0.6543099275725425,0.08739943663644963,0.5357800933082395,0.5987303786992692,0.5309897243957613,0.26553565411918617,0.5926311419590563,0.6823544091792271,0.4578383678675024,0.6210352270066167,0.450071025268533,0.5616095946787416,0.15897256996320278,0.5000401219015204,0.5886623606663822,0.5531185148897672,0.6031840146777605,0.6246205372323914,0.662316337164839,0.481354035229013,0.13099805810840312,0.05833066387775154,0.6318967765915576,0.6547374658791295,0.6323884916310297,0.4272393817506561,0.607345846302422,0.7012446504032204,0.6559697934631203,0.47366252836449796,0.6123878490066573,0.37974353845743114,0.29440223392155085,0.571903711153229,0.4648175932743051,0.6694077460093681,0.5524927364512756,0.48819188169088085,0.6425456013460283,0.532493312150738,0.6686241348560756,0.5036009959853861,0.580896807272525,0.5792991156381488,0.5442933649264496,-0.13282096232935436,0.18324948074961836,0.512336765098426,0.6104787045005483,0.670416289924038,0.46483155234501294,0.07927201091419686,0.6383949911828652
