id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h
bitcoin,btc,Bitcoin,85156.0,1690620920152,1,30914541865.0,0.87752
ethereum,eth,Ethereum,1675.91,202348062568,2,16590967939.0,4.61282
tether,usdt,Tether,0.999873,144324918003,3,49371981878.0,0.01591
ripple,xrp,XRP,2.16,126083770790,4,3324838853.0,-0.85863
binancecoin,bnb,BNB,591.79,86330952983,5,557655969.0,0.81083
solana,sol,Solana,134.18,69268529020,6,4923400416.0,3.50335
usd-coin,usdc,USDC,0.999977,60177538548,7,9099713582.0,0.00293
dogecoin,doge,Dogecoin,0.166397,24775082123,8,967038035.0,0.98107
tron,trx,TRON,0.255756,24291463379,9,1032316877.0,3.41088
cardano,ada,Cardano,0.653066,23493799491,10,666942077.0,0.3626
staked-ether,steth,Lido Staked Ether,1675.79,15599044613,11,25484701.0,4.69286
wrapped-bitcoin,wbtc,Wrapped Bitcoin,85105.0,10972436656,12,502956005.0,0.91414
leo-token,leo,LEO Token,9.41,8693754141,13,3898046.0,0.26745
avalanche-2,avax,Avalanche,20.54,8542894518,14,407622451.0,3.35813
chainlink,link,Chainlink,13.17,8408615168,15,433898812.0,2.37185
sui,sui,Sui,2.34,7611295289,16,1049618573.0,0.49818
stellar,xlm,Stellar,0.246159,7592946856,17,176244555.0,-0.48977
shiba-inu,shib,Shiba Inu,1.238e-05,7295545633,18,170407775.0,0.81091
hedera-hashgraph,hbar,Hedera,0.170529,7197438675,19,256189934.0,-0.73851
wrapped-steth,wsteth,Wrapped stETH,2008.96,7148801065,20,16627180.0,4.52776
usds,usds,USDS,0.999694,7125382334,21,14863268.0,-0.02772
the-open-network,ton,Toncoin,2.85,7065694547,22,203665151.0,-0.69995
bitcoin-cash,bch,Bitcoin Cash,338.67,6723776006,23,286824991.0,-3.14075
litecoin,ltc,Litecoin,78.6,5953516497,24,384659583.0,-0.51123
polkadot,dot,Polkadot,3.76,5724209285,25,182597705.0,0.52733
hyperliquid,hype,Hyperliquid,16.03,5393795760,26,146224101.0,0.08184
bitget-token,bgb,Bitget Token,4.33,5195104901,28,98350899.0,0.15983
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.998634,5178203201,27,285220884.0,-0.07749
pi-network,pi,Pi Network,0.752161,5161210311,29,268485307.0,-1.85884
ethena-usde,usde,Ethena USDe,0.999089,4961769166,30,60026874.0,0.0569
weth,weth,WETH,1674.24,4614139906,31,331813074.0,4.45915
whitebit,wbt,WhiteBIT Coin,27.83,4005767983,32,25752520.0,0.30873
monero,xmr,Monero,209.68,3867319360,33,51701262.0,1.57852
wrapped-eeth,weeth,Wrapped eETH,1783.29,3639445383,34,7662905.0,4.60067
uniswap,uni,Uniswap,5.58,3349930196,35,126952241.0,3.15715
pepe,pepe,Pepe,7.65e-06,3216321364,36,834593530.0,4.91855
okb,okb,OKB,53.0,3180013674,37,9260610.0,-1.97978
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,85287.0,3142990556,39,376053292.0,1.13976
dai,dai,Dai,1.0,3142724840,38,81600038.0,0.02215
aptos,apt,Aptos,4.96,3061458098,40,149404022.0,-0.69334
ondo-finance,ondo,Ondo,0.910956,2874143846,41,209313395.0,2.8611
gatechain-token,gt,Gate,22.52,2768625145,42,7913870.0,0.34488
tokenize-xchange,tkx,Tokenize Xchange,33.71,2696667792,43,19772091.0,0.02532
